"id","period","player_appearance_id","body_part","technique","play_pattern","own_goal_player_appearance_id","block_player_appearance_id","minute","possession","stage","under_pressure"
170,"half_1",39480,"right_foot","normal","regular_play","NULL","NULL",44,2286,"top",TRUE
171,"half_1",39488,"left_foot","normal","corner_kick","NULL","39484",13,2287,"top",FALSE
172,"half_1",39487,"head","normal","regular_play","NULL","NULL",13,2287,"top",TRUE
1700,"half_1",42292,"head","normal","corner_kick","NULL","NULL",36,2416,"top",TRUE
1701,"extra_time_1",42292,"head","normal","regular_play","NULL","NULL",3,2416,"top",TRUE
1702,"half_1",42305,"head","normal","regular_play","NULL","NULL",3,2417,"top",TRUE
1703,"half_1",42295,"right_foot","volley","regular_play","NULL","42316",3,2416,"top",TRUE
1704,"half_1",42295,"right_foot","normal","regular_play","NULL","42308",32,2416,"top",TRUE
1705,"half_1",42318,"right_foot","normal","regular_play","NULL","NULL",6,2417,"top",TRUE
1706,"half_2",42318,"right_foot","normal","regular_play","NULL","NULL",3,2417,"top",TRUE
1707,"half_2",42318,"right_foot","normal","counter_attack","NULL","NULL",13,2417,"top",TRUE
1708,"half_1",42296,"right_foot","normal","regular_play","NULL","NULL",13,2416,"top",TRUE
1709,"half_2",42296,"head","normal","regular_play","NULL","NULL",17,2416,"top",TRUE
1710,"half_2",42296,"head","normal","corner_kick","NULL","NULL",23,2416,"top",TRUE
1711,"half_2",42296,"right_foot","normal","regular_play","NULL","42311",40,2416,"top",TRUE
1712,"half_1",42313,"right_foot","normal","regular_play","NULL","NULL",31,2417,"top",TRUE
1713,"half_1",42313,"right_foot","normal","counter_attack","NULL","42290",34,2417,"top",TRUE
173,"half_1",39473,"right_foot","normal","regular_play","NULL","NULL",23,2286,"top",TRUE
174,"half_1",39485,"left_foot","normal","corner_kick","NULL","NULL",37,2287,"top",FALSE
1714,"half_2",42313,"right_foot","normal","counter_attack","NULL","NULL",11,2417,"top",TRUE
176,"half_2",39471,"head","normal","corner_kick","NULL","NULL",19,2286,"top",TRUE
177,"half_2",39479,"right_foot","normal","regular_play","NULL","NULL",25,2286,"top",TRUE
178,"half_2",39475,"head","lob","corner_kick","NULL","NULL",28,2286,"top",TRUE
179,"half_2",39474,"right_foot","normal","regular_play","NULL","39485",32,2286,"top",TRUE
180,"half_2",39492,"right_foot","normal","throw_in","NULL","39473",42,2287,"top",TRUE
181,"half_2",39492,"right_foot","lob","regular_play","NULL","NULL",46,2287,"top",FALSE
182,"half_2",39483,"right_foot","volley","regular_play","NULL","NULL",42,2287,"top",TRUE
183,"half_2",39491,"left_foot","normal","regular_play","NULL","NULL",44,2287,"top",FALSE
1715,"half_2",42313,"left_foot","normal","regular_play","NULL","42290",28,2417,"top",TRUE
202,"half_1",39574,"left_foot","normal","regular_play","NULL","39559",12,2291,"top",TRUE
203,"half_1",39574,"left_foot","normal","regular_play","NULL","39561",33,2291,"top",TRUE
204,"half_1",39565,"left_foot","normal","regular_play","NULL","39575",14,2290,"top",TRUE
205,"half_1",39565,"left_foot","normal","regular_play","NULL","NULL",24,2290,"top",TRUE
206,"half_2",39565,"right_foot","normal","regular_play","NULL","NULL",33,2290,"top",TRUE
207,"half_1",39571,"right_foot","normal","regular_play","NULL","39573",14,2290,"top",FALSE
208,"half_1",39571,"right_foot","normal","regular_play","NULL","39584",20,2290,"top",FALSE
209,"half_1",39571,"left_foot","normal","regular_play","NULL","NULL",20,2290,"top",TRUE
210,"half_1",39571,"left_foot","normal","corner_kick","NULL","39576",44,2290,"top",TRUE
211,"half_1",39566,"left_foot","normal","counter_attack","NULL","NULL",16,2290,"top",TRUE
212,"half_1",39568,"head","normal","regular_play","NULL","NULL",18,2290,"top",TRUE
213,"half_1",39568,"left_foot","volley","regular_play","NULL","39566",46,2290,"middle",TRUE
214,"half_1",39563,"right_foot","volley","corner_kick","NULL","39573",44,2290,"bottom",FALSE
215,"half_2",39563,"left_foot","volley","direct_free_kick","NULL","39560",15,2290,"top",TRUE
216,"half_1",39573,"head","normal","corner_kick","NULL","NULL",48,2291,"top",TRUE
217,"half_2",39580,"right_foot","normal","regular_play","NULL","NULL",3,2291,"top",TRUE
218,"half_2",39575,"head","normal","corner_kick","NULL","NULL",3,2291,"top",TRUE
219,"half_2",39576,"head","normal","corner_kick","NULL","NULL",8,2291,"top",TRUE
220,"half_2",39584,"right_foot","normal","regular_play","NULL","NULL",10,2291,"top",TRUE
221,"half_2",39584,"right_foot","normal","regular_play","NULL","39560",12,2291,"top",TRUE
222,"half_2",39579,"left_foot","normal","regular_play","NULL","NULL",12,2291,"top",FALSE
223,"half_2",39586,"head","normal","direct_free_kick","NULL","NULL",19,2291,"top",TRUE
224,"half_2",39572,"right_foot","normal","counter_attack","NULL","NULL",20,2290,"top",FALSE
225,"half_2",39572,"left_foot","volley","corner_kick","NULL","NULL",48,2290,"top",FALSE
226,"half_2",39577,"right_foot","normal","regular_play","NULL","NULL",22,2291,"top",TRUE
227,"half_2",39577,"right_foot","normal","regular_play","NULL","NULL",31,2291,"top",TRUE
228,"half_2",39578,"right_foot","normal","regular_play","NULL","NULL",46,2291,"top",TRUE
229,"half_1",39625,"right_foot","volley","regular_play","NULL","39613",10,2293,"top",TRUE
230,"half_2",39625,"right_foot","normal","regular_play","NULL","NULL",6,2293,"top",TRUE
231,"half_2",39625,"left_foot","normal","regular_play","NULL","NULL",19,2293,"top",FALSE
232,"half_2",39625,"right_foot","normal","direct_free_kick","NULL","39616",32,2293,"top",TRUE
233,"half_1",39623,"left_foot","normal","regular_play","NULL","NULL",17,2293,"top",TRUE
234,"half_1",39623,"right_foot","normal","regular_play","NULL","NULL",18,2293,"top",TRUE
235,"half_1",39610,"left_foot","normal","regular_play","NULL","NULL",25,2292,"top",TRUE
236,"half_1",39610,"left_foot","normal","regular_play","NULL","NULL",42,2292,"top",TRUE
237,"half_1",39614,"right_foot","normal","regular_play","NULL","NULL",28,2292,"top",FALSE
238,"half_1",39613,"head","normal","corner_kick","NULL","NULL",36,2292,"top",TRUE
239,"half_2",39613,"right_foot","normal","regular_play","NULL","39619",41,2292,"top",TRUE
240,"half_1",39608,"left_foot","normal","regular_play","NULL","NULL",46,2292,"top",TRUE
241,"half_2",39631,"right_foot","normal","regular_play","NULL","39613",2,2293,"top",TRUE
242,"half_2",39631,"right_foot","normal","regular_play","NULL","NULL",14,2293,"top",TRUE
243,"half_2",39626,"left_foot","normal","regular_play","NULL","NULL",2,2293,"top",TRUE
244,"half_2",39622,"right_foot","normal","regular_play","NULL","39615",5,2293,"top",TRUE
245,"half_2",39624,"left_foot","normal","regular_play","NULL","NULL",5,2293,"top",TRUE
246,"half_2",39624,"left_foot","normal","regular_play","NULL","39609",26,2293,"top",TRUE
247,"half_2",39618,"head","other","corner_kick","NULL","NULL",13,2293,"top",TRUE
248,"half_2",39607,"right_foot","normal","regular_play","NULL","NULL",17,2292,"top",TRUE
249,"half_2",39646,"left_foot","normal","regular_play","NULL","NULL",22,2293,"top",TRUE
250,"half_2",39646,"left_foot","normal","regular_play","NULL","NULL",48,2293,"top",TRUE
251,"half_2",39628,"right_foot","normal","regular_play","NULL","NULL",43,2293,"top",TRUE
252,"half_2",39639,"left_foot","normal","regular_play","NULL","NULL",49,2292,"top",TRUE
253,"half_2",39617,"right_foot","normal","regular_play","NULL","39605",50,2293,"top",TRUE
254,"half_1",39653,"left_foot","normal","regular_play","NULL","39667",3,2294,"top",TRUE
255,"half_2",39653,"right_foot","normal","regular_play","NULL","39667",6,2294,"top",TRUE
256,"half_1",39669,"right_foot","normal","regular_play","NULL","NULL",5,2295,"top",TRUE
257,"half_2",39669,"right_foot","volley","counter_attack","NULL","NULL",46,2295,"top",TRUE
258,"half_1",39673,"right_foot","normal","regular_play","NULL","NULL",6,2295,"top",TRUE
259,"half_1",39656,"left_foot","normal","counter_attack","NULL","NULL",20,2294,"top",TRUE
260,"half_1",39654,"left_foot","other","regular_play","NULL","NULL",22,2294,"top",TRUE
261,"half_1",39665,"right_foot","normal","regular_play","NULL","39660",27,2295,"top",TRUE
262,"half_1",39665,"right_foot","normal","indirect_free_kick","NULL","NULL",34,2295,"top",TRUE
263,"half_1",39674,"right_foot","normal","counter_attack","NULL","NULL",32,2295,"top",TRUE
264,"half_2",39659,"right_foot","normal","regular_play","NULL","NULL",8,2294,"top",FALSE
265,"half_2",39679,"right_foot","normal","regular_play","NULL","NULL",17,2295,"top",TRUE
266,"half_2",39655,"left_foot","volley","corner_kick","NULL","NULL",22,2294,"top",FALSE
267,"half_2",39655,"right_foot","normal","counter_attack","NULL","NULL",28,2294,"top",FALSE
268,"half_2",39655,"right_foot","volley","counter_attack","NULL","NULL",40,2294,"top",TRUE
269,"half_2",39677,"right_foot","normal","regular_play","NULL","39651",23,2295,"top",FALSE
270,"half_2",39677,"right_foot","normal","regular_play","NULL","39658",25,2295,"top",TRUE
271,"half_2",39662,"right_foot","normal","regular_play","NULL","39666",32,2294,"top",TRUE
272,"half_2",39662,"right_foot","normal","corner_kick","NULL","NULL",33,2294,"top",FALSE
273,"half_2",39671,"right_foot","normal","regular_play","NULL","NULL",36,2295,"top",TRUE
274,"half_2",39672,"other","other","regular_play","NULL","NULL",40,2295,"top",TRUE
275,"half_1",39702,"right_foot","volley","regular_play","NULL","NULL",3,2296,"top",TRUE
276,"half_1",39702,"left_foot","normal","regular_play","NULL","NULL",19,2296,"top",TRUE
277,"half_2",39702,"right_foot","normal","regular_play","NULL","39715",14,2296,"top",TRUE
278,"half_1",39697,"left_foot","normal","regular_play","NULL","NULL",4,2296,"top",TRUE
279,"half_2",39697,"left_foot","normal","regular_play","NULL","NULL",44,2296,"top",TRUE
280,"half_1",39709,"left_foot","normal","corner_kick","NULL","39717",8,2296,"top",TRUE
281,"half_1",39709,"right_foot","normal","regular_play","NULL","NULL",26,2296,"top",TRUE
282,"half_1",39709,"right_foot","normal","direct_free_kick","NULL","NULL",41,2296,"top",FALSE
283,"half_1",39706,"left_foot","volley","throw_in","NULL","39723",16,2296,"top",TRUE
284,"half_1",39703,"right_foot","volley","corner_kick","NULL","NULL",19,2296,"top",TRUE
285,"half_1",39703,"left_foot","normal","regular_play","NULL","NULL",42,2296,"middle",TRUE
286,"half_2",39703,"right_foot","normal","regular_play","NULL","39713",14,2296,"top",TRUE
1716,"half_1",42289,"left_foot","normal","throw_in","NULL","NULL",34,2416,"top",FALSE
288,"half_1",39717,"right_foot","normal","regular_play","NULL","NULL",25,2297,"top",TRUE
289,"half_1",39719,"right_foot","normal","counter_attack","NULL","NULL",27,2297,"middle",TRUE
290,"half_1",39719,"right_foot","normal","regular_play","NULL","39697",27,2297,"top",TRUE
291,"half_1",39719,"head","normal","regular_play","NULL","NULL",44,2297,"top",TRUE
292,"half_1",39723,"right_foot","normal","indirect_free_kick","NULL","39724",32,2297,"top",FALSE
293,"half_2",39723,"left_foot","normal","regular_play","NULL","39699",45,2297,"top",TRUE
294,"half_1",39720,"right_foot","normal","direct_free_kick","NULL","NULL",39,2297,"top",FALSE
295,"half_2",39699,"head","normal","indirect_free_kick","NULL","NULL",4,2296,"bottom",FALSE
296,"half_2",39708,"right_foot","normal","counter_attack","NULL","NULL",30,2296,"top",TRUE
297,"half_2",39725,"right_foot","normal","regular_play","NULL","39703",45,2297,"top",TRUE
298,"half_2",39725,"left_foot","normal","regular_play","NULL","39699",45,2297,"top",TRUE
299,"half_2",39725,"right_foot","normal","direct_free_kick","NULL","39697",48,2297,"top",FALSE
300,"half_1",39758,"left_foot","normal","regular_play","NULL","NULL",4,2299,"top",TRUE
301,"half_2",39758,"right_foot","normal","regular_play","NULL","39743",20,2299,"top",TRUE
302,"half_1",39765,"right_foot","normal","regular_play","NULL","NULL",9,2299,"top",TRUE
303,"half_2",39765,"left_foot","normal","regular_play","NULL","39752",10,2299,"top",TRUE
304,"half_2",39765,"left_foot","normal","regular_play","NULL","39752",14,2299,"top",TRUE
305,"half_2",39765,"left_foot","normal","regular_play","NULL","39752",30,2299,"top",TRUE
306,"half_1",39743,"head","other","indirect_free_kick","NULL","NULL",27,2298,"top",TRUE
307,"half_1",39746,"left_foot","normal","regular_play","NULL","39766",29,2298,"top",TRUE
308,"half_2",39746,"right_foot","normal","counter_attack","NULL","NULL",1,2298,"top",FALSE
309,"half_1",39744,"left_foot","normal","regular_play","NULL","39770",29,2298,"top",TRUE
310,"half_1",39769,"left_foot","normal","regular_play","NULL","NULL",39,2299,"top",FALSE
311,"half_2",39769,"left_foot","normal","regular_play","NULL","39750",2,2299,"top",TRUE
312,"half_1",39770,"left_foot","normal","regular_play","NULL","NULL",43,2299,"top",TRUE
313,"half_2",39764,"right_foot","normal","regular_play","NULL","39756",2,2299,"top",TRUE
314,"half_2",39764,"left_foot","normal","regular_play","NULL","NULL",16,2299,"top",TRUE
315,"half_2",39763,"left_foot","normal","regular_play","NULL","NULL",3,2299,"top",TRUE
316,"half_2",39745,"head","normal","regular_play","NULL","NULL",6,2298,"top",TRUE
317,"half_2",39752,"head","normal","corner_kick","NULL","NULL",18,2298,"top",TRUE
318,"half_2",39771,"left_foot","normal","regular_play","NULL","NULL",28,2299,"top",TRUE
319,"half_2",39760,"head","normal","corner_kick","NULL","NULL",31,2299,"top",TRUE
320,"half_2",39747,"left_foot","normal","regular_play","NULL","NULL",34,2298,"top",FALSE
321,"half_2",39755,"right_foot","normal","regular_play","NULL","NULL",46,2298,"top",TRUE
322,"half_2",39766,"left_foot","normal","regular_play","NULL","39752",47,2299,"top",TRUE
878,"half_1",40777,"left_foot","normal","regular_play","NULL","40762",8,2345,"top",TRUE
879,"half_1",40777,"right_foot","normal","regular_play","NULL","NULL",8,2345,"top",FALSE
880,"half_1",40783,"right_foot","normal","corner_kick","NULL","NULL",11,2345,"top",FALSE
881,"half_1",40783,"right_foot","normal","regular_play","NULL","NULL",20,2345,"top",TRUE
882,"half_1",40767,"right_foot","normal","regular_play","NULL","NULL",21,2344,"top",TRUE
883,"half_2",40767,"left_foot","volley","regular_play","NULL","NULL",2,2344,"top",TRUE
884,"half_2",40767,"left_foot","normal","regular_play","NULL","40778",14,2344,"top",TRUE
885,"half_1",40763,"head","normal","indirect_free_kick","NULL","NULL",24,2344,"top",TRUE
886,"half_2",40763,"head","normal","corner_kick","NULL","NULL",47,2344,"top",TRUE
887,"half_1",40784,"left_foot","normal","regular_play","NULL","NULL",31,2345,"top",FALSE
888,"half_1",40784,"left_foot","normal","direct_free_kick","NULL","NULL",39,2345,"middle",FALSE
889,"half_2",40784,"left_foot","normal","regular_play","NULL","NULL",5,2345,"top",TRUE
890,"half_1",40773,"left_foot","normal","regular_play","NULL","NULL",36,2344,"top",TRUE
891,"half_1",40773,"left_foot","normal","regular_play","NULL","NULL",45,2344,"top",FALSE
892,"half_2",40773,"left_foot","normal","regular_play","NULL","NULL",29,2344,"top",TRUE
893,"half_2",40773,"left_foot","normal","regular_play","NULL","NULL",37,2344,"top",TRUE
894,"half_2",40773,"head","normal","corner_kick","NULL","NULL",38,2344,"bottom",TRUE
895,"half_1",40765,"head","normal","corner_kick","NULL","NULL",42,2344,"top",TRUE
896,"half_2",40766,"right_foot","normal","regular_play","NULL","40782",6,2344,"top",TRUE
897,"half_2",40764,"right_foot","normal","regular_play","NULL","NULL",6,2344,"bottom",TRUE
363,"half_1",39881,"head","normal","indirect_free_kick","NULL","NULL",5,2304,"top",TRUE
364,"half_1",39881,"head","normal","indirect_free_kick","NULL","NULL",47,2304,"top",TRUE
365,"half_2",39881,"left_foot","normal","throw_in","NULL","NULL",45,2304,"middle",TRUE
366,"half_1",39900,"left_foot","normal","counter_attack","NULL","NULL",7,2305,"top",TRUE
367,"half_1",39884,"left_foot","normal","regular_play","NULL","39899",14,2304,"top",TRUE
368,"half_1",39884,"right_foot","normal","regular_play","NULL","39899",30,2304,"top",TRUE
369,"half_2",39884,"left_foot","normal","corner_kick","NULL","39898",43,2304,"top",TRUE
370,"half_1",39903,"left_foot","normal","direct_free_kick","NULL","NULL",19,2305,"top",FALSE
371,"half_1",39890,"right_foot","normal","regular_play","NULL","39906",31,2304,"top",TRUE
372,"half_1",39906,"head","normal","indirect_free_kick","NULL","NULL",42,2305,"top",TRUE
373,"half_2",39906,"head","normal","corner_kick","NULL","39882",20,2305,"top",TRUE
374,"half_1",39887,"right_foot","normal","regular_play","NULL","NULL",42,2304,"top",TRUE
375,"half_2",39895,"left_foot","normal","direct_free_kick","NULL","39888",19,2305,"top",FALSE
376,"half_2",39897,"left_foot","normal","corner_kick","NULL","NULL",20,2305,"top",TRUE
377,"half_2",39888,"right_foot","normal","indirect_free_kick","NULL","NULL",26,2304,"top",FALSE
378,"half_2",39907,"right_foot","normal","throw_in","NULL","NULL",28,2305,"top",TRUE
379,"half_2",39901,"left_foot","normal","regular_play","NULL","39880",34,2305,"top",FALSE
380,"half_2",39905,"head","normal","corner_kick","NULL","NULL",34,2305,"top",TRUE
381,"half_2",39889,"right_foot","normal","regular_play","NULL","39906",48,2304,"top",TRUE
382,"half_2",39892,"right_foot","normal","direct_free_kick","NULL","39899",50,2304,"top",FALSE
383,"half_1",39933,"left_foot","normal","regular_play","NULL","39947",7,2306,"top",TRUE
384,"half_2",39933,"left_foot","normal","regular_play","NULL","39949",4,2306,"top",TRUE
385,"half_2",39933,"right_foot","normal","regular_play","NULL","39949",12,2306,"top",TRUE
386,"half_2",39933,"right_foot","normal","throw_in","NULL","NULL",20,2306,"top",TRUE
387,"half_1",39930,"right_foot","volley","regular_play","NULL","NULL",12,2306,"top",TRUE
388,"half_1",39930,"right_foot","normal","direct_free_kick","NULL","NULL",22,2306,"top",FALSE
389,"half_1",39930,"head","normal","regular_play","NULL","NULL",34,2306,"top",TRUE
1717,"extra_time_1",42289,"left_foot","normal","regular_play","NULL","NULL",8,2416,"top",FALSE
391,"half_2",39930,"right_foot","normal","regular_play","NULL","39949",5,2306,"middle",TRUE
392,"half_2",39930,"right_foot","volley","regular_play","NULL","NULL",7,2306,"top",TRUE
393,"half_2",39930,"right_foot","normal","regular_play","NULL","39949",18,2306,"middle",TRUE
394,"half_1",39944,"left_foot","normal","regular_play","NULL","39943",15,2307,"top",TRUE
395,"half_1",39947,"left_foot","normal","corner_kick","NULL","39938",16,2307,"top",FALSE
396,"half_1",39931,"right_foot","volley","indirect_free_kick","NULL","NULL",18,2306,"top",FALSE
397,"half_2",39931,"right_foot","normal","regular_play","NULL","NULL",7,2306,"top",FALSE
398,"half_2",39931,"right_foot","normal","regular_play","NULL","NULL",44,2306,"top",TRUE
399,"half_1",39946,"left_foot","normal","regular_play","NULL","39925",20,2307,"top",TRUE
400,"half_1",39929,"head","normal","corner_kick","NULL","NULL",25,2306,"top",TRUE
401,"half_1",39929,"right_foot","normal","indirect_free_kick","NULL","39947",44,2306,"top",TRUE
402,"half_2",39929,"head","normal","corner_kick","NULL","NULL",30,2306,"top",TRUE
403,"half_1",39948,"right_foot","volley","regular_play","NULL","39942",30,2307,"top",TRUE
404,"half_1",39928,"head","normal","corner_kick","NULL","NULL",44,2306,"top",TRUE
405,"half_2",39938,"right_foot","normal","regular_play","NULL","NULL",9,2306,"top",FALSE
406,"half_2",39953,"left_foot","normal","regular_play","NULL","NULL",11,2307,"top",TRUE
407,"half_2",39953,"left_foot","normal","regular_play","NULL","NULL",31,2307,"top",TRUE
408,"half_2",39932,"right_foot","normal","regular_play","NULL","NULL",29,2306,"top",TRUE
409,"half_2",39955,"right_foot","normal","indirect_free_kick","NULL","39927",38,2307,"top",TRUE
410,"half_2",39955,"right_foot","normal","regular_play","NULL","NULL",52,2307,"top",TRUE
411,"half_2",39949,"head","normal","regular_play","NULL","NULL",39,2307,"top",FALSE
412,"half_2",39940,"right_foot","normal","regular_play","NULL","NULL",47,2306,"middle",TRUE
413,"half_2",39940,"right_foot","other","regular_play","NULL","NULL",57,2306,"middle",TRUE
414,"half_1",39993,"left_foot","volley","regular_play","NULL","39974",2,2309,"top",TRUE
415,"half_1",39993,"right_foot","normal","regular_play","NULL","NULL",4,2309,"top",TRUE
416,"half_1",39994,"right_foot","normal","regular_play","NULL","NULL",8,2309,"top",TRUE
417,"half_1",39978,"head","normal","regular_play","NULL","NULL",11,2308,"top",TRUE
1718,"half_1",42307,"left_foot","normal","regular_play","NULL","42290",35,2417,"top",TRUE
419,"half_1",39976,"right_foot","normal","regular_play","NULL","NULL",13,2308,"top",TRUE
420,"half_1",39976,"right_foot","normal","counter_attack","NULL","39990",18,2308,"top",TRUE
421,"half_1",39974,"right_foot","normal","regular_play","NULL","NULL",17,2308,"top",TRUE
422,"half_1",39972,"right_foot","volley","regular_play","NULL","NULL",28,2308,"top",FALSE
423,"half_1",39972,"right_foot","normal","corner_kick","NULL","NULL",31,2308,"top",TRUE
424,"half_1",39972,"head","normal","indirect_free_kick","NULL","NULL",44,2308,"top",TRUE
425,"half_2",39977,"right_foot","normal","regular_play","NULL","NULL",3,2308,"top",TRUE
426,"half_2",39973,"right_foot","normal","corner_kick","NULL","NULL",6,2308,"top",TRUE
427,"half_2",39973,"head","other","corner_kick","NULL","NULL",12,2308,"top",TRUE
428,"half_2",39975,"right_foot","normal","direct_free_kick","NULL","NULL",10,2308,"top",FALSE
429,"half_2",39975,"left_foot","volley","regular_play","NULL","NULL",22,2308,"top",TRUE
430,"half_2",39975,"right_foot","normal","regular_play","NULL","NULL",34,2308,"top",TRUE
431,"half_2",39984,"head","normal","regular_play","NULL","NULL",11,2308,"top",TRUE
432,"half_2",39984,"right_foot","other","regular_play","NULL","NULL",43,2308,"top",TRUE
433,"half_2",40000,"right_foot","other","regular_play","NULL","NULL",17,2309,"top",TRUE
434,"half_2",40000,"right_foot","normal","regular_play","NULL","39974",17,2309,"top",TRUE
435,"half_2",39986,"right_foot","normal","regular_play","NULL","NULL",23,2308,"top",TRUE
436,"half_2",39980,"left_foot","normal","regular_play","NULL","NULL",24,2308,"top",TRUE
437,"half_2",39980,"right_foot","normal","counter_attack","NULL","NULL",46,2308,"top",TRUE
438,"half_2",39983,"right_foot","normal","regular_play","NULL","39998",28,2308,"top",TRUE
439,"half_2",39981,"right_foot","normal","regular_play","NULL","NULL",33,2308,"top",TRUE
440,"half_2",39981,"right_foot","normal","regular_play","NULL","NULL",40,2308,"top",FALSE
441,"half_2",39992,"left_foot","normal","regular_play","NULL","NULL",34,2309,"top",TRUE
1044,"half_1",41181,"right_foot","normal","regular_play","NULL","NULL",3,2363,"top",TRUE
1045,"half_1",41181,"right_foot","normal","regular_play","NULL","NULL",13,2363,"top",FALSE
1046,"half_1",41181,"left_foot","normal","counter_attack","NULL","NULL",41,2363,"top",TRUE
1047,"half_2",41181,"right_foot","volley","throw_in","NULL","NULL",24,2363,"top",TRUE
1048,"half_1",41157,"left_foot","normal","regular_play","NULL","41170",4,2362,"top",TRUE
1049,"half_1",41153,"right_foot","volley","throw_in","NULL","41173",5,2362,"top",TRUE
1050,"half_1",41153,"right_foot","normal","throw_in","NULL","NULL",32,2362,"top",TRUE
1051,"half_2",41153,"right_foot","normal","regular_play","NULL","41181",29,2362,"top",TRUE
1052,"half_1",41151,"left_foot","normal","regular_play","NULL","41167",5,2362,"top",TRUE
1053,"half_1",41151,"left_foot","normal","regular_play","NULL","NULL",5,2362,"top",TRUE
1054,"half_1",41151,"left_foot","normal","regular_play","NULL","NULL",15,2362,"top",TRUE
1055,"half_2",41151,"right_foot","normal","regular_play","41169","NULL",15,2362,"top",TRUE
1056,"half_1",41167,"right_foot","normal","regular_play","NULL","NULL",7,2363,"top",FALSE
1057,"half_2",41167,"right_foot","normal","regular_play","NULL","NULL",35,2363,"top",TRUE
1058,"half_1",41168,"left_foot","normal","throw_in","NULL","41152",10,2363,"top",FALSE
1059,"half_1",41178,"left_foot","normal","direct_free_kick","NULL","41151",13,2363,"top",FALSE
1060,"half_1",41178,"left_foot","normal","regular_play","NULL","NULL",46,2363,"top",TRUE
1061,"half_2",41178,"left_foot","normal","regular_play","NULL","NULL",13,2363,"top",TRUE
1062,"half_1",41156,"right_foot","normal","regular_play","NULL","41167",14,2362,"top",TRUE
898,"half_2",40774,"left_foot","normal","regular_play","NULL","NULL",17,2344,"middle",TRUE
899,"half_2",40787,"left_foot","normal","regular_play","NULL","NULL",32,2345,"top",TRUE
900,"half_2",40772,"right_foot","normal","counter_attack","NULL","40787",38,2344,"top",TRUE
901,"half_2",40771,"head","normal","regular_play","NULL","NULL",47,2344,"bottom",TRUE
1719,"half_1",42307,"right_foot","normal","regular_play","NULL","NULL",45,2417,"top",TRUE
1720,"half_2",42307,"head","normal","regular_play","NULL","NULL",29,2417,"top",TRUE
1721,"half_2",42307,"left_foot","normal","indirect_free_kick","NULL","42292",45,2417,"top",FALSE
1722,"half_1",42301,"left_foot","normal","regular_play","NULL","NULL",36,2416,"top",FALSE
1723,"half_1",42301,"right_foot","normal","direct_free_kick","NULL","NULL",41,2416,"top",FALSE
1724,"half_2",42294,"head","normal","corner_kick","NULL","NULL",22,2416,"top",TRUE
1725,"extra_time_2",42294,"right_foot","normal","regular_play","NULL","42314",2,2416,"top",TRUE
1726,"extra_time_2",42294,"right_foot","normal","regular_play","NULL","NULL",12,2416,"top",FALSE
1727,"half_2",42300,"right_foot","normal","regular_play","NULL","NULL",42,2416,"top",TRUE
